Recorte,Código IBGE,Município,Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ,Região Administrativa,Região de Governo,Região Metropolitana,Aglomerações Urbanas
DAEE,3551603,Serra Negra,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3526407,Laranjal Paulista,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,Aglomeração Urbana de Piracicaba
DAEE,3552106,Socorro,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3528403,Mairinque,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3537800,Piedade,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3540606,Porto Feliz,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3545308,Salto de Pirapora,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3550605,São Roque,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3551108,Sarapuí,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3552205,Sorocaba,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3554003,Tatuí,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
DAEE,3169109,Toledo,MG ,MG,MG,MG,MG
DAEE,3554656,Torre de Pedra,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA e DAEE,3554508,Tietê,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3556453,Vargem Grande Paulista,10 - Tietê/Sorocaba,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3557006,Votorantim,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3526209,Juquitiba,11 - Ribeira de Iguape/Litoral Sul,-,-,Região Metropolitana de São Paulo,-
EMPLASA e DAEE,3549953,São Lourenço da Serra,11 - Ribeira de Iguape/Litoral Sul,-,-,Região Metropolitana de São Paulo,-
EMPLASA,3553500,Tapiraí,11 - Ribeira de Iguape/Litoral Sul,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA,3522307,Itapetininga,14 - Alto Paranapanema,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA,3537909,Pilar do Sul,14 - Alto Paranapanema,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA,3550209,São Miguel Arcanjo,14 - Alto Paranapanema,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,3531605,,,,,,
,3531803,,,,,,
,3531704,,,,,,
,3531902,,,,,,
,3532009,,,,,,
,3532058,,,,,,
,3532108,,,,,,
,3532157,,,,,,
,3532207,,,,,,
,3532306,,,,,,
,3532405,,,,,,
,3532504,,,,,,
,3532603,,,,,,
,3532702,,,,,,
,3532801,,,,,,
,3532827,,,,,,
,3532843,,,,,,
,3532868,,,,,,
,3532900,,,,,,
,3533007,,,,,,
,3533106,,,,,,
,3533205,,,,,,
,3533304,,,,,,
,3533403,,,,,,
,3533254,,,,,,
,3533502,,,,,,
,3533601,,,,,,
,3533700,,,,,,
,3533809,,,,,,
,3533908,,,,,,
,3534005,,,,,,
,3534104,,,,,,
,3534203,,,,,,
,3534302,,,,,,
,3534401,,,,,,
,3534500,,,,,,
,3534609,,,,,,
,3534708,,,,,,
,3534807,,,,,,
,3534757,,,,,,
,3534906,,,,,,
,3535002,,,,,,
,3535101,,,,,,
,3535200,,,,,,
,3535309,,,,,,
,3535408,,,,,,
,3535507,,,,,,
,3535606,,,,,,
,3535705,,,,,,
,3535804,,,,,,
,3535903,,,,,,
,3536000,,,,,,
,3536109,,,,,,
,3536208,,,,,,
,3536257,,,,,,
,3536307,,,,,,
,3536406,,,,,,
,3536505,,,,,,
,3536570,,,,,,
,3536604,,,,,,
,3536703,,,,,,
,3536802,,,,,,
,3536901,,,,,,
,3537008,,,,,,
,3537107,,,,,,
,3537156,,,,,,
,3537206,,,,,,
,3537305,,,,,,
,3537404,,,,,,
,3537503,,,,,,
,3537602,,,,,,
,3537701,,,,,,
,3537800,,,,,,
,3537909,,,,,,
,3538006,,,,,,
,3538105,,,,,,
,3538204,,,,,,
,3538303,,,,,,
,3538501,,,,,,
,3538600,,,,,,
,3538709,,,,,,
,3538808,,,,,,
,3538907,,,,,,
,3539004,,,,,,
,3539103,,,,,,
,3539202,,,,,,
,3539301,,,,,,
,3539400,,,,,,
,3539509,,,,,,
,3539608,,,,,,
,3539707,,,,,,
,3539806,,,,,,
,3539905,,,,,,
,3540002,,,,,,
,3540101,,,,,,
,3540200,,,,,,
,3540259,,,,,,
,3540309,,,,,,
,3540408,,,,,,
,3540507,,,,,,
,3540606,,,,,,
,3540705,,,,,,
,3540754,,,,,,
,3540804,,,,,,
,3540853,,,,,,
,3540903,,,,,,
,3541000,,,,,,
,3541059,,,,,,
,3541109,,,,,,
,3541208,,,,,,
,3541307,,,,,,
,3541406,,,,,,
,3541505,,,,,,
,3541604,,,,,,
,3541653,,,,,,
,3541703,,,,,,
,3541802,,,,,,
,3541901,,,,,,
,3542008,,,,,,
,3542107,,,,,,
,3542206,,,,,,
,3542305,,,,,,
,3542404,,,,,,
,3542503,,,,,,
,3542602,,,,,,
,3542701,,,,,,
,3542800,,,,,,
,3542909,,,,,,
,3543006,,,,,,
,3543105,,,,,,
,3543204,,,,,,
,3543238,,,,,,
,3543253,,,,,,
,3543303,,,,,,
,3543402,,,,,,
,3543600,,,,,,
,3543709,,,,,,
,3543808,,,,,,
,3543907,,,,,,
,3544004,,,,,,
,3544103,,,,,,
,3544202,,,,,,
,3543501,,,,,,
,3544251,,,,,,
,3544301,,,,,,
,3544400,,,,,,
,3544509,,,,,,
,3544608,,,,,,
,3544707,,,,,,
,3544806,,,,,,
,3544905,,,,,,
,3545001,,,,,,
,3545100,,,,,,
,3545159,,,,,,
,3545209,,,,,,
,3545308,,,,,,
,3545407,,,,,,
,3545506,,,,,,
,3545605,,,,,,
,3545704,,,,,,
,3545803,,,,,,
,3546009,,,,,,
,3546108,,,,,,
,3546207,,,,,,
,3546256,,,,,,
,3546306,,,,,,
,3546405,,,,,,
,3546504,,,,,,
,3546603,,,,,,
,3546702,,,,,,
,3546801,,,,,,
,3546900,,,,,,
,3547007,,,,,,
,3547106,,,,,,
,3547403,,,,,,
,3547502,,,,,,
,3547601,,,,,,
,3547650,,,,,,
,3547205,,,,,,
,3547304,,,,,,
,3547700,,,,,,
,3547809,,,,,,
,3547908,,,,,,
,3548005,,,,,,
,3548054,,,,,,
,3548104,,,,,,
,3548203,,,,,,
,3548302,,,,,,
,3548401,,,,,,
,3548500,,,,,,
,3548609,,,,,,
,3548708,,,,,,
,3548807,,,,,,
,3548906,,,,,,
,3549003,,,,,,
,3549102,,,,,,
,3549201,,,,,,
,3549250,,,,,,
,3549300,,,,,,
,3549409,,,,,,
,3549508,,,,,,
,3549607,,,,,,
,3549706,,,,,,
,3549805,,,,,,
,3549904,,,,,,
,3549953,,,,,,
,3550001,,,,,,
,3550100,,,,,,
,3550209,,,,,,
,3550308,,,,,,
,3550407,,,,,,
,3550506,,,,,,
,3550605,,,,,,
,3550704,,,,,,
,3550803,,,,,,
,3550902,,,,,,
,3551009,,,,,,
,3551108,,,,,,
,3551207,,,,,,
,3551306,,,,,,
,3551405,,,,,,
,3551603,,,,,,
,3551504,,,,,,
,3551702,,,,,,
,3551801,,,,,,
,3551900,,,,,,
,3552007,,,,,,
,3552106,,,,,,
,3552205,,,,,,
,3552304,,,,,,
,3552403,,,,,,
,3552551,,,,,,
,3552502,,,,,,
,3552601,,,,,,
,3552700,,,,,,
,3552809,,,,,,
,3552908,,,,,,
,3553005,,,,,,
,3553104,,,,,,
,3553203,,,,,,
,3553302,,,,,,
,3553401,,,,,,
,3553500,,,,,,
,3553609,,,,,,
,3553658,,,,,,
,3553708,,,,,,
,3553807,,,,,,
,3553856,,,,,,
,3553906,,,,,,
,3553955,,,,,,
,3554003,,,,,,
,3554102,,,,,,
,3554201,,,,,,
,3554300,,,,,,
,3554409,,,,,,
,3554508,,,,,,
,3554607,,,,,,
,3554656,,,,,,
,3554706,,,,,,
,3554755,,,,,,
,3554805,,,,,,
,3554904,,,,,,
,3554953,,,,,,
,3555000,,,,,,
,3555109,,,,,,
,3555208,,,,,,
,3555307,,,,,,
,3555356,,,,,,
,3555406,,,,,,
,3555505,,,,,,
,3555604,,,,,,
,3555703,,,,,,
,3555802,,,,,,
,3555901,,,,,,
,3556008,,,,,,
,3556107,,,,,,
,3556206,,,,,,
,3556305,,,,,,
,3556354,,,,,,
,3556404,,,,,,
,3556453,,,,,,
,3556503,,,,,,
,3556602,,,,,,
,3556701,,,,,,
,3556800,,,,,,
,3556909,,,,,,
,3556958,,,,,,
,3557006,,,,,,
,3557105,,,,,,
,3557154,,,,,,
